entity_name,aliases,country,type,risk_level,source,source_date,notes,maintainer
Routine public-service fee keyword,permit fee|license fee|filing fee|registration fee|public service fee,global,small risk category,LOW,curated anti-bribery risk taxonomy,2026-05-08,Routine public-service payment cue that needs light reviewer awareness in an expense context,Leandro Michelino | ACE | leandro.michelino@oracle.com
Public funding keyword,grant|subsidy|public funding|public fund|government grant,global,small risk category,LOW,curated anti-bribery risk taxonomy,2026-05-08,Public funding cue that can be legitimate but should remain visible to reviewers,Leandro Michelino | ACE | leandro.michelino@oracle.com
Public education keyword,public school|public university|state school|state university,global,small risk category,LOW,curated anti-bribery risk taxonomy,2026-05-08,Public education cue with lower inherent risk unless paired with officials or unusual expenses,Leandro Michelino | ACE | leandro.michelino@oracle.com
Government keyword,gov|govt|government|governmental,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Generic government cue for compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
Public sector keyword,public sector|public body|public institution|public authority,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Generic public-sector cue for compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
Municipality keyword,municipality|municipal|council|city council|local authority,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Local-government cue for compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
Government procurement keyword,tender|public tender|rfp|request for proposal|public procurement|bid process,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Public procurement cue that may require procurement-policy review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Public healthcare keyword,public hospital|state hospital|health authority|ministry of health,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Healthcare authority cue for compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
Tax customs permit authority keyword,tax authority|customs|border authority|immigration|regulator|regulatory authority,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Regulator or public-permission authority cue for compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
Gift hospitality keyword,gift|hospitality|entertainment|courtesy meal|business meal|event ticket,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Gift hospitality or entertainment cue that may require policy threshold review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Travel lodging official keyword,travel expense|hotel stay|flight|airfare|per diem|accommodation,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Travel or lodging expense cue that may require public-official review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Charitable sponsorship keyword,donation|charitable contribution|sponsorship|community contribution|foundation payment,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Donation or sponsorship cue that may require anti-bribery review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Third-party intermediary keyword,agent|broker|consultant|intermediary|distributor|representative,global,medium risk category,MEDIUM,curated anti-bribery risk taxonomy,2026-05-08,Third-party intermediary cue that may require due-diligence review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Ministry keyword,ministry|department of|ministerial,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Ministry or department cue with elevated public-sector risk,Leandro Michelino | ACE | leandro.michelino@oracle.com
State-owned entity keyword,state-owned|state owned|state agency|public enterprise|government owned,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,State-owned or state-agency cue with elevated public-sector risk,Leandro Michelino | ACE | leandro.michelino@oracle.com
Public official keyword,public official|civil servant|government official|elected official|politically exposed person|pep,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Public-official or PEP cue with elevated compliance risk,Leandro Michelino | ACE | leandro.michelino@oracle.com
Embassy keyword,embassy|consulate|diplomatic mission|diplomat,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Diplomatic entity or official cue with elevated public-sector risk,Leandro Michelino | ACE | leandro.michelino@oracle.com
Security forces keyword,police|military|army|defense ministry|defence ministry|armed forces,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Security-force or defense cue with elevated public-sector risk,Leandro Michelino | ACE | leandro.michelino@oracle.com
Facilitation payment keyword,facilitation payment|expedite fee|speed money|cash facilitation|unofficial payment,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Facilitation or unofficial payment cue requiring compliance review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Political contribution keyword,political donation|campaign contribution|political party|election contribution|candidate contribution,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Political contribution cue requiring compliance review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Conflict of interest keyword,conflict of interest|related party|family member|relative of official|close associate,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Conflict of interest or relationship cue requiring compliance review,Leandro Michelino | ACE | leandro.michelino@oracle.com
Sanctions debarment keyword,sanctioned|debarred|blacklisted|blocked party|excluded supplier,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Sanctions or debarment cue requiring escalation,Leandro Michelino | ACE | leandro.michelino@oracle.com
Sole-source exception keyword,sole source|single source|no bid|direct award|emergency procurement,global,high risk category,HIGH,curated anti-bribery risk taxonomy,2026-05-08,Exception-based procurement cue requiring reviewer attention,Leandro Michelino | ACE | leandro.michelino@oracle.com
Zimbabwe Schools Examination Council,ZIMSEC|Zimbabwe Schools Examination Council,Zimbabwe,high risk named entity,HIGH,curated project example,2026-05-08,Public-sector education or examination body used for MVP compliance screening,Leandro Michelino | ACE | leandro.michelino@oracle.com
